round,accuracy,method,supernodes,fraction,rounds,partition,job_index
49,0.6897,fedavg,10,1.0,50,iid,1
50,0.691,fedavg,10,1.0,50,iid,1
0,0.1012,fedavg,10,1.0,50,dirichlet,2
1,0.1483,fedavg,10,1.0,50,dirichlet,2
2,0.217,fedavg,10,1.0,50,dirichlet,2
3,0.2872,fedavg,10,1.0,50,dirichlet,2
4,0.3447,fedavg,10,1.0,50,dirichlet,2
5,0.3875,fedavg,10,1.0,50,dirichlet,2
6,0.4053,fedavg,10,1.0,50,dirichlet,2
7,0.4317,fedavg,10,1.0,50,dirichlet,2
8,0.4361,fedavg,10,1.0,50,dirichlet,2
9,0.4646,fedavg,10,1.0,50,dirichlet,2
10,0.4748,fedavg,10,1.0,50,dirichlet,2
11,0.4848,fedavg,10,1.0,50,dirichlet,2
12,0.4924,fedavg,10,1.0,50,dirichlet,2
13,0.5104,fedavg,10,1.0,50,dirichlet,2
14,0.5054,fedavg,10,1.0,50,dirichlet,2
15,0.5123,fedavg,10,1.0,50,dirichlet,2
16,0.5298,fedavg,10,1.0,50,dirichlet,2
17,0.5388,fedavg,10,1.0,50,dirichlet,2
18,0.5524,fedavg,10,1.0,50,dirichlet,2
19,0.5604,fedavg,10,1.0,50,dirichlet,2
20,0.568,fedavg,10,1.0,50,dirichlet,2
21,0.5608,fedavg,10,1.0,50,dirichlet,2
22,0.5677,fedavg,10,1.0,50,dirichlet,2
23,0.5893,fedavg,10,1.0,50,dirichlet,2
24,0.5915,fedavg,10,1.0,50,dirichlet,2
25,0.6019,fedavg,10,1.0,50,dirichlet,2
26,0.595,fedavg,10,1.0,50,dirichlet,2
27,0.6158,fedavg,10,1.0,50,dirichlet,2
28,0.614,fedavg,10,1.0,50,dirichlet,2
29,0.6219,fedavg,10,1.0,50,dirichlet,2
30,0.6259,fedavg,10,1.0,50,dirichlet,2
31,0.6212,fedavg,10,1.0,50,dirichlet,2
32,0.6253,fedavg,10,1.0,50,dirichlet,2
33,0.6374,fedavg,10,1.0,50,dirichlet,2
34,0.6505,fedavg,10,1.0,50,dirichlet,2
35,0.64,fedavg,10,1.0,50,dirichlet,2
36,0.643,fedavg,10,1.0,50,dirichlet,2
37,0.6476,fedavg,10,1.0,50,dirichlet,2
38,0.6649,fedavg,10,1.0,50,dirichlet,2
39,0.6653,fedavg,10,1.0,50,dirichlet,2
40,0.6531,fedavg,10,1.0,50,dirichlet,2
41,0.6489,fedavg,10,1.0,50,dirichlet,2
42,0.6633,fedavg,10,1.0,50,dirichlet,2
43,0.68,fedavg,10,1.0,50,dirichlet,2
44,0.6854,fedavg,10,1.0,50,dirichlet,2
45,0.6717,fedavg,10,1.0,50,dirichlet,2
46,0.6675,fedavg,10,1.0,50,dirichlet,2
47,0.6778,fedavg,10,1.0,50,dirichlet,2
